id,name,icon,sort_order,type,sub_type,is_asset,billing_start_day,currency,credit_limit,payment_due_day,min_payment_pct,min_payment_floor,apr,opening_balance
1,撲滿現金,💵,0,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,10100.0
2,現金書款,💵,1,asset,現金,0,1,TWD,0.0,0,10.0,1000.0,0.0,-200.0
3,國泰子帳戶,🏦,2,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,5000.0
4,BT21,💳,7,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-1672.0
5,台新美元,🏦,3,asset,銀行,1,1,USD,0.0,0,10.0,1000.0,0.0,300.0
6,TSMC,📈,5,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
8,iPhone,🤝,6,liability,借貸,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
