id,year,month,category,type,amount
170,2024,10,網路雲端服務,expense,90.0
171,2024,10,代付,expense,1043.0
172,2024,11,飲食,expense,673.0
173,2024,11,加油,expense,432.0
174,2024,11,服飾配件,expense,4356.0
175,2024,11,清點差額,expense,1000.0
176,2024,11,代付,expense,100.0
177,2024,11,現金回饋,income,156.0
178,2024,11,網路雲端服務,expense,90.0
179,2024,12,飲食,expense,336.0
180,2024,12,加油,expense,452.0
181,2024,12,服飾配件,expense,7999.0
182,2024,12,取消交易,income,1180.0
183,2024,12,存款利息,income,751.0
184,2024,12,代付,expense,3745.0
185,2024,12,現金回饋,income,203.0
186,2024,12,網路雲端服務,expense,90.0
187,2025,1,飲食,expense,585.0
188,2025,1,服飾配件,expense,600.0
189,2025,1,加油,expense,100.0
190,2025,1,洗滌,expense,40.0
191,2025,1,代付,expense,360.0
192,2025,1,零用錢,income,2000.0
193,2025,1,網路雲端服務,expense,90.0
194,2025,2,零用錢,income,5000.0
195,2025,2,服飾配件,expense,1941.0
196,2025,2,代付,expense,600.0
197,2025,2,飲食,expense,687.0
198,2025,2,加油,expense,229.0
199,2025,2,約會/請客,expense,516.0
200,2025,2,網路雲端服務,expense,90.0
201,2025,3,代付,expense,755.0
202,2025,3,飲食,expense,1786.0
203,2025,3,洗滌,expense,80.0
204,2025,3,股息,income,1151.0
205,2025,3,服飾配件,expense,1899.0
206,2025,3,醫療,expense,1708.0
207,2025,3,網路雲端服務,expense,90.0
208,2025,4,飲食,expense,1980.0
209,2025,4,代付,expense,418.0
210,2025,4,加油,expense,232.0
211,2025,4,網路雲端服務,expense,90.0
212,2025,5,代付,expense,435.0
213,2025,5,飲食,expense,1043.0
214,2025,5,服飾配件,expense,1689.0
215,2025,5,約會/請客,expense,144.0
216,2025,5,現金回饋,income,136.0
217,2025,5,加油,expense,96.0
218,2025,5,網路雲端服務,expense,90.0
219,2025,6,服飾配件,expense,2551.0
220,2025,6,飲食,expense,1069.0
221,2025,6,其他,expense,325.0
222,2025,6,加油,expense,110.0
223,2025,6,清點差額,expense,40.0
224,2025,6,存款利息,income,740.0
225,2025,6,現金回饋,income,102.0
226,2025,6,日用品,expense,139.0
227,2025,6,網路雲端服務,expense,90.0
228,2025,6,通勤交通,expense,360.0
229,2025,7,服飾配件,expense,2553.0
230,2025,7,日用品,expense,1195.0
231,2025,7,取消交易,income,340.0
232,2025,7,通勤交通,expense,280.0
233,2025,7,加油,expense,223.0
234,2025,7,量販雜貨,expense,689.0
235,2025,7,3C,expense,1099.0
236,2025,7,飲食,expense,980.0
237,2025,7,現金回饋,income,170.0
238,2025,7,網路雲端服務,expense,90.0
239,2025,8,飲食,expense,1310.0
240,2025,8,電影,expense,515.0
241,2025,8,服飾配件,expense,1339.0
242,2025,8,加油,expense,350.0
243,2025,8,通勤交通,expense,200.0
244,2025,8,代付,expense,185.0
245,2025,8,日用品,expense,488.0
246,2025,8,約會/請客,expense,84.0
247,2025,8,現金回饋,income,153.0
248,2025,8,網路雲端服務,expense,90.0
249,2025,9,飲食,expense,2758.0
250,2025,9,加油,expense,213.0
251,2025,9,股息,income,1756.0
252,2025,9,通勤交通,expense,410.0
253,2025,9,服飾配件,expense,390.0
254,2025,9,禮品,expense,620.0
255,2025,9,代付,expense,1200.0
256,2025,9,停車費,expense,350.0
257,2025,9,電影,expense,170.0
258,2025,9,現金回饋,income,180.0
259,2025,9,網路雲端服務,expense,90.0
260,2025,10,飲食,expense,315.0
261,2025,10,加油,expense,208.0
262,2025,10,約會/請客,expense,58.0
263,2025,10,服飾配件,expense,499.0
264,2025,10,現金回饋,income,104.0
265,2025,10,代付,expense,367.0
266,2025,10,網路雲端服務,expense,90.0
267,2025,10,通勤交通,expense,395.0
268,2025,11,飲食,expense,553.0
269,2025,11,其他,income,344.0
270,2025,11,通勤交通,expense,700.0
271,2025,11,代付,expense,660.0
272,2025,11,旅行,expense,491.0
273,2025,11,加油,expense,117.0
274,2025,11,現金回饋,income,195.0
275,2025,11,網路雲端服務,expense,90.0
276,2025,12,飲食,expense,504.0
277,2025,12,股息,income,60.0
278,2025,12,通勤交通,expense,3415.0
279,2025,12,加油,expense,203.0
280,2025,12,存款利息,income,1118.07
281,2025,12,服飾配件,expense,390.0
282,2025,12,現金回饋,income,56.0
283,2025,12,網路雲端服務,expense,90.0
284,2025,12,禮品,expense,109.0
285,2025,12,約會/請客,expense,209.0
286,2026,1,飲食,expense,1370.0
287,2026,1,通勤交通,expense,1755.0
288,2026,1,其他,expense,40.0
289,2026,1,服飾配件,expense,1539.0
290,2026,1,加油,expense,201.0
291,2026,1,約會/請客,expense,330.0
292,2026,1,醫療,expense,250.0
293,2026,1,日用品,expense,300.0
294,2026,1,現金回饋,income,85.0
295,2026,1,網路雲端服務,expense,90.0
296,2026,2,通勤交通,expense,3925.0
297,2026,2,加油,expense,310.0
298,2026,2,日用品,expense,164.0
299,2026,2,股息,income,452.0
300,2026,2,網路雲端服務,expense,123.0
301,2026,2,停車費,expense,740.0
302,2026,2,現金回饋,income,215.0
303,2026,2,飲食,expense,55.0
304,2026,3,服飾配件,expense,780.0
305,2026,3,加油,expense,312.0
306,2026,3,飲食,expense,498.0
307,2026,3,通勤交通,expense,1565.0
308,2026,3,他人還款,income,26.0
309,2026,3,網路雲端服務,expense,90.0
310,2026,3,約會/請客,expense,540.0
311,2026,3,股息,income,3407.0
312,2026,3,清點差額,income,1.0
313,2026,4,飲食,expense,638.0
