根據您篩選的結果，總計有318筆資料，當前資料為1-318筆，看更多請至國泰證券app查詢
股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號
群益台ESG低碳50,2023/10/11,18,-286,現買,15.88,285,1,0,0,0,0,0,0,p02f2
群益台ESG低碳50,2023/10/05,19,-295,現買,15.52,294,1,0,0,0,0,0,0,p00nd
群益台ESG低碳50,2023/09/25,19,-295,現買,15.5,294,1,0,0,0,0,0,0,p01ff
群益台ESG低碳50,2023/09/20,19,-298,現買,15.67,297,1,0,0,0,0,0,0,p00iR
群益台ESG低碳50,2023/09/18,18,-285,現買,15.82,284,1,0,0,0,0,0,0,p01lN
群益台ESG低碳50,2023/09/12,19,-296,現買,15.57,295,1,0,0,0,0,0,0,p00Rg
群益台ESG低碳50,2023/09/08,19,-297,現買,15.61,296,1,0,0,0,0,0,0,p00Qi
群益台ESG低碳50,2023/09/05,18,-285,現買,15.78,284,1,0,0,0,0,0,0,p00i7
群益台ESG低碳50,2023/08/24,31,-491,現買,15.81,490,1,0,0,0,0,0,0,p00Kl
群益台ESG低碳50,2023/08/21,32,-493,現買,15.4,492,1,0,0,0,0,0,0,p01Gw
群益台ESG低碳50,2023/08/15,31,-499,現買,16.08,498,1,0,0,0,0,0,0,p00hR
