日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260609,郵局,17690,TWD,Bankee,17690,TWD,,,2026-06-09 16:20:45,814C7F3A-8C2E-4E10-A9EA-A6925034A31E
20260609,國泰子帳戶,496,TWD,TW,496,TWD,,買進(2464.TW:盟立),2026-06-05 12:59:55,S_DB28F075-D21B-4BC2-8249-390AD820236F
20260607,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-06-07 18:41:05,30998BDB-7C1B-41CD-AC67-BE70EE976A3E
20260606,Bankee,400,TWD,悠遊付錢包,400,TWD,,,2026-06-07 18:37:30,7CC50269-7382-4DBC-8836-6AF99E0FC1ED
20260605,國泰子帳戶,536,TWD,TW,536,TWD,,買進(2464.TW:盟立),2026-06-04 08:45:15,S_E6288937-C52B-4E3D-8E08-994E6FECB9A8
20260605,國泰子帳戶,1012,TWD,TW,1012,TWD,,買進(6239.TW:力成),2026-06-04 08:43:01,S_AF2460B1-D470-4772-BE0C-DB83B335237F
20260604,國泰子帳戶,317,TWD,TW,317,TWD,,買進(0050.TW:元大台灣50),2026-06-04 08:43:45,S_CBF2A879-1822-4233-A5FD-3EC764500F34
20260604,國泰子帳戶,1881,TWD,TW,1881,TWD,,買進(2464.TW:盟立),2026-06-02 17:54:21,S_73451071-DEFD-4A60-B66A-C4CEBA9D176D
20260604,國泰子帳戶,1841,TWD,TW,1841,TWD,,買進(2464.TW:盟立),2026-06-02 17:53:49,S_11F30F73-4AF4-433D-962F-D23115468D9E
20260603,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-06-07 18:40:14,4D3ACBDD-1CCA-41E2-91A2-297ACA4BF425
20260602,國泰子帳戶,4291,TWD,TW,4291,TWD,,買進(2454.TW:聯發科),2026-06-04 08:46:36,S_677B7AE1-54D7-4B44-9A9F-E853F957FECD
20260602,Bankee,2500,TWD,錢包,2500,TWD,,,2026-06-02 19:05:40,630D02D3-292F-4783-A4E5-44E7D4379818
20260601,國泰子帳戶,793,TWD,TW,793,TWD,,買進(00690.TW:兆豐藍籌30),2026-05-29 10:45:31,S_7997EAFC-43AD-4E15-A64D-29C83FBFD04E
20260601,國泰子帳戶,308,TWD,TW,308,TWD,,買進(0050.TW:元大台灣50),2026-05-29 10:43:24,S_84DDA7D2-949F-4FE9-A491-1EB176C7E047
