日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260202,國泰子帳戶,570,TWD,元大50,570,TWD,,,2026-02-05 14:04:03,49FA50DB-F68E-4DD3-8513-3156FD87C814
20260201,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-02-06 13:20:30,49246A7C-F818-4782-A4BF-1180B0D27BE8
20260130,中信,15138,TWD,Bankee,15138,TWD,,,2026-01-30 13:59:27,18FFF3B7-CB01-489A-A581-BE5B3EBFEA7F
20260130,中信,12000,TWD,國泰子帳戶,12000,TWD,,,2026-01-30 13:58:28,9E4C8A71-948A-4CE4-B93B-E1AEEF8598A8
20260128,國泰子帳戶,52,TWD,兆豐藍籌,52,TWD,,,2026-02-05 14:06:14,4BA7A0EE-C99D-4711-B2F7-6ADAEB92DA03
20260128,國泰子帳戶,591,TWD,元大50,591,TWD,,,2026-02-05 14:05:35,FB485FB8-6929-4049-874C-2404AED4A37E
20260127,國泰子帳戶,584,TWD,元大50,584,TWD,,,2026-02-05 14:07:26,1F5C3B86-C720-4E60-B806-507D8F3FD53E
20260127,國泰子帳戶,52,TWD,兆豐藍籌,52,TWD,,,2026-02-05 14:07:00,5AF0EA85-31E9-4B4E-A41F-A6DD9EDB890C
20260127,國泰子帳戶,8507,TWD,CUBE COMBO,8507,TWD,,自動繳款[12月09日〜1月08日],2026-01-27 08:29:45,CC8921C1-696E-418E-9C5F-D02E1C36579F
20260126,國泰子帳戶,580,TWD,元大50,580,TWD,,,2026-01-26 20:27:40,961139E5-4AB8-48E3-BF2E-898261C53E09
20260122,BT21,260,TWD,中信,260,TWD,,,2026-01-23 08:28:18,4E9B4F12-67F0-4591-AAC2-45A93AE45B24
20260122,BT21,260,TWD,郵局,260,TWD,,,2026-01-23 08:28:02,61E93F6D-EC3C-4640-8EB0-1C02EB18F2B7
20260122,Bankee,7165,TWD,BT21,7165,TWD,,,2026-01-22 08:27:12,FDEBA9FA-8F0A-442A-A969-620F722A52BF
20260120,國泰子帳戶,98,TWD,兆豐藍籌,98,TWD,,,2026-02-05 14:08:27,F388D79A-98D4-4609-96D6-0766F49B0B9B
20260119,國泰子帳戶,97,TWD,兆豐藍籌,97,TWD,,,2026-01-19 21:17:25,471D734D-FBAE-4BED-9566-5CA2A64CD3E0
20260119,國泰子帳戶,1728,TWD,元大50,1728,TWD,,,2026-01-19 21:16:43,798554CB-B3E6-40BD-9A5F-3D61034F4D95
20260118,Bankee,100,TWD,悠遊付錢包,100,TWD,,,2026-01-18 23:37:39,32188EA3-3DFC-46FD-962B-BB03A92A9489
20260109,國泰子帳戶,559,TWD,元大50,559,TWD,,,2026-01-17 00:27:37,B26232D0-A8DD-463D-AAEB-E3715649ED9A
20260104,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2026-01-04 10:38:50,A09E65CB-AA43-491A-BBD5-5C77FE4362A3
20260103,Bankee,100,TWD,悠遊付錢包,100,TWD,,,2026-01-03 20:25:08,C6238F86-E9B7-439E-8DB4-88D913C61785
20260102,國泰子帳戶,866,TWD,元大50,866,TWD,,,2026-01-17 00:28:14,F70AF012-9DC9-4042-A544-098E24BB356B
20260102,中信,23150,TWD,Bankee,23150,TWD,,,2026-01-02 17:28:05,4F518C02-49F9-440A-86C4-7666CE8F643C
20260102,郵局,17000,TWD,國泰子帳戶,17000,TWD,,,2026-01-02 17:26:28,E2A339A4-7384-4D05-9F44-1BD4022CE627
20251229,國泰子帳戶,178,TWD,兆豐藍籌,178,TWD,,,2026-01-17 00:35:12,FC6613DD-BB6A-48AB-BF60-5835AAAC5A4E
20251229,國泰子帳戶,1694,TWD,元大50,1694,TWD,,,2026-01-17 00:33:27,115AA28D-3720-425A-AA0B-6AF8B4596DB2
20251226,國泰子帳戶,4349,TWD,CUBE COMBO,4349,TWD,,自動繳款[11月09日〜12月08日],2026-01-24 16:27:39,D112129E-A5AF-457A-8BD5-16C3C1CBC005
20251224,國泰子帳戶,895,TWD,元大50,895,TWD,,,2026-01-17 00:30:19,106A7648-32E5-43DA-9014-EE437E65BBD8
20251222,國泰子帳戶,88,TWD,兆豐藍籌,88,TWD,,,2026-01-17 00:30:38,CA827D91-9F75-4610-A017-12B257FB1524
20251222,Bankee,2865,TWD,BT21,2865,TWD,,自動繳款[11月07日〜12月06日],2026-01-02 17:23:26,161D7285-6FEC-424D-B2A5-41816EF97F5D
20251219,國泰子帳戶,86,TWD,兆豐藍籌,86,TWD,,,2025-12-21 11:16:29,B9C77A28-106A-4929-A8B0-CFB965DC4475
20251219,國泰子帳戶,877,TWD,元大50,877,TWD,,,2025-12-21 11:16:06,083B4826-5276-4834-8D06-960CA7CB1CD6
20251219,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-12-19 13:47:26,906D9D3F-2144-4872-A998-6D3598162CD6
20251218,國泰子帳戶,866,TWD,元大50,866,TWD,,,2025-12-21 11:17:00,F162FD49-C1B3-42A3-B9D6-6C8CE826A89F
20251217,國泰子帳戶,873,TWD,元大50,873,TWD,,,2025-12-21 11:19:08,5D64C69C-6F28-42FA-A78B-3D593B2A7591
20251217,撲滿現金,10,TWD,錢包,10,TWD,,,2025-12-17 22:58:04,FE848839-97B4-4DBA-9FAC-FE3613094DE8
20251216,國泰子帳戶,1853,TWD,元大50,1853,TWD,,,2025-12-21 11:18:37,F5B56104-3B30-4E21-93BC-B4341D2E53EB
20251215,國泰子帳戶,3141,TWD,元大50,3141,TWD,,,2025-12-21 11:18:06,B5D8215D-372C-4906-8134-56DBC8557945
20251213,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2025-12-13 23:48:32,C9415638-C19A-4B2F-9859-3049F09F0555
20251211,郵局,2000,TWD,國泰子帳戶,2000,TWD,,,2025-12-15 15:12:51,791D9159-0C1E-452D-A5F7-FDD8E512C890
20251211,國泰子帳戶,3168,TWD,元大50,3168,TWD,,,2025-12-11 14:33:06,154AFB2F-4B8D-402D-9E1B-A3C4F645ECFF
20251209,國泰子帳戶,892,TWD,元大50,892,TWD,,,2025-12-09 20:56:11,F97D518E-878D-4CF9-9FF3-F3763FAF7235
20251207,郵局,3000,TWD,中信,3000,TWD,,,2025-12-07 14:42:34,7903018E-7B96-4971-AA58-4C37E7BBCCFC
20251205,Bankee,1500,TWD,錢包,1500,TWD,,,2025-12-05 14:54:11,31B71B8B-D795-4B51-AD92-9B24D561055A
20251202,國泰子帳戶,867,TWD,元大50,867,TWD,,,2025-12-06 23:30:31,854D408D-803A-4183-8D58-E06F19F7A640
20251128,國泰子帳戶,86,TWD,兆豐藍籌,86,TWD,,,2025-12-06 23:31:49,31B66F20-9FA6-4D8F-899B-53B6C74AFFD6
20251128,國泰子帳戶,684,TWD,元大50,684,TWD,,,2025-12-06 23:31:08,82DD79A9-380F-42B9-B493-E5B9FFA05FFF
20251128,中信,22590,TWD,Bankee,22590,TWD,,,2025-11-28 09:55:45,CD00F4AD-C698-429E-A284-8BC05457773A
20251127,國泰子帳戶,86,TWD,兆豐藍籌,86,TWD,,,2025-11-27 16:42:03,5B770CFC-EE4F-4A39-8B1E-76BE710088AE
20251127,國泰子帳戶,682,TWD,元大50,682,TWD,,,2025-11-27 16:41:30,441A4FED-5824-4C17-9324-B45FBC206279
20251125,國泰子帳戶,5027,TWD,CUBE COMBO,5027,TWD,,自動繳款[10月09日〜11月08日],2026-01-24 16:30:25,9796EC51-DED1-4636-B6EC-20A23DD570AA
20251124,郵局,6000,TWD,國泰子帳戶,6000,TWD,,,2025-11-24 19:42:27,DDC028F5-9EA3-4653-AE91-8F73EC099110
20251124,國泰子帳戶,657,TWD,元大50,657,TWD,,,2025-11-24 19:41:08,2F0A5CE6-007F-4715-BB30-391C43C35358
20251122,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-11-22 10:29:05,B69D2575-786F-496D-86EB-00D3E576D90A
20251121,國泰子帳戶,1316,TWD,元大50,1316,TWD,,,2025-11-24 07:52:26,4AB6A381-809A-460B-9BB4-0369CA6E8F82
20251121,郵局,3000,TWD,國泰子帳戶,3000,TWD,,,2025-11-21 11:12:38,297B6106-1F33-4E2B-AE2B-54FD20458E15
20251121,Bankee,1918,TWD,BT21,1918,TWD,,自動繳款[10月07日〜11月06日],2025-11-24 20:20:06,9EF8BDDA-A101-4326-B078-3A1E99535CD2
20251120,國泰子帳戶,460,TWD,兆豐藍籌,460,TWD,,,2025-11-20 19:31:28,3638C49C-6ECE-43B3-9CC6-19997FC94B10
20251119,國泰子帳戶,490,TWD,兆豐藍籌,490,TWD,,,2025-11-24 07:54:27,CAE40F06-5CDB-497E-884D-2C7DFEBB926E
20251119,BT21,491,TWD,中信,491,TWD,,,2025-11-21 23:30:20,C8F86C67-6F1A-4A32-903F-25A50738D48C
20251119,國泰子帳戶,2405,TWD,元大50,2405,TWD,,,2025-11-24 07:52:42,3779281A-F60F-4AA7-BF7B-C0F0CDD875E5
20251119,郵局,3876,TWD,國泰子帳戶,3876,TWD,,,2025-11-19 14:54:13,5E907FB0-C6BC-4C45-A6C8-DCD605F58424
20251119,國泰子帳戶,663,TWD,元大50,663,TWD,,,2025-11-24 07:53:10,2804E616-B1FA-468A-B505-A01DA6FCB81E
20251118,國泰子帳戶,669,TWD,元大50,669,TWD,,,2025-11-18 16:08:03,CF82E222-E904-476D-8961-0A58393DC7B8
20251117,國泰子帳戶,683,TWD,元大50,683,TWD,,,2025-11-18 16:09:35,F81BA3F9-084C-429A-A2CC-DA798AC45D1E
20251115,中信,11000,TWD,Bankee,11000,TWD,,,2025-11-15 16:30:19,6D212D90-0F17-40EC-96C8-867532B2BC32
20251115,錢包,11000,TWD,中信,11000,TWD,,,2025-11-15 12:48:50,3DC3E84B-D3EC-4E2C-A14F-49C305FB3426
20251114,郵局,2500,TWD,國泰子帳戶,2500,TWD,,,2025-11-14 13:35:00,0E6838D9-8538-4F46-9432-717475B494F4
20251114,國泰子帳戶,1234,TWD,元大50,1234,TWD,,,2025-11-14 13:33:24,48C3D711-282C-4DFA-8D25-BCF9CB6148C5
20251110,國泰子帳戶,693,TWD,元大50,693,TWD,,,2025-11-10 16:52:53,4BC8055F-8CF9-4537-92A9-EE6862074772
20251108,Bankee,2000,TWD,錢包,2000,TWD,,,2025-11-08 14:33:29,49AC9B53-BDD0-4268-909E-7F01BFC9D059
20251105,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-11-20 23:13:45,E8C8E883-8EB1-4352-A557-7723A0FA4DC4
20251103,國泰子帳戶,643,TWD,元大50,643,TWD,,,2025-11-03 19:52:58,0E341F1C-738E-4813-AE1B-D6121B56BC33
20251102,Bankee,300,TWD,悠遊付錢包,300,TWD,,,2025-11-02 22:52:03,E8E10181-A339-4692-9B94-B70DD500CABE
20251101,中信,17844,TWD,Bankee,17844,TWD,,,2025-11-01 16:06:19,9A6BD557-CFB5-4A1F-8527-9E94713EFC94
20251101,中信,5000,TWD,國泰子帳戶,5000,TWD,,,2025-11-01 16:03:04,F115F640-A25E-42B0-8042-2FD650FB31CE
20251101,Bankee,50000,TWD,國泰子帳戶,50000,TWD,,,2025-11-01 15:59:08,2DC55AAE-21D7-4CEC-B8AA-1FA088134E81
20251028,國泰子帳戶,265,TWD,兆豐藍籌,265,TWD,,,2025-10-28 19:39:07,0A1CF069-2AAD-4C3D-BD25-6323B3DB1BF6
20251028,國泰子帳戶,255,TWD,元大50,255,TWD,,,2025-10-28 19:38:56,B012F0A2-2C4F-4D5C-B6B6-54D3F52FAE3F
20251028,錢包,150,TWD,郵局,150,TWD,,,2025-10-28 17:50:20,A2267377-6229-40B5-92F1-EA8A84C2C804
20251027,國泰子帳戶,265,TWD,兆豐藍籌,265,TWD,,,2025-10-27 20:04:12,0F0E5D3A-31AC-4991-B63A-C8FA64C0158F
20251027,國泰子帳戶,255,TWD,元大50,255,TWD,,,2025-10-27 20:03:55,F4BD33F3-5F63-4AFE-BC26-AC65A4650B3F
20251025,Bankee,1000,TWD,錢包,1000,TWD,,,2025-10-25 16:59:33,F8A50F6A-68D2-40F9-A25B-36FDA92262C0
20251024,國泰子帳戶,6762,TWD,CUBE COMBO,6762,TWD,,自動繳款[9月09日〜10月08日],2025-10-28 08:20:44,7C702DAB-A120-404A-AFBA-DEF17BB0201B
20251023,國泰子帳戶,259,TWD,兆豐藍籌,259,TWD,,,2025-10-23 15:49:12,B469A47A-7CCC-4132-813C-B1EE81B26483
20251021,Bankee,5500,TWD,國泰子帳戶,5500,TWD,,,2025-10-21 11:10:12,89AB3E37-F6CB-4EA4-8044-1DE3009CD3CE
20251021,Bankee,6476,TWD,BT21,6476,TWD,,自動繳款[9月07日〜10月06日],2025-10-28 08:21:19,7C098649-5F78-438E-BC62-15FEAF372938
20251020,國泰子帳戶,174,TWD,兆豐藍籌,174,TWD,,,2025-10-21 11:05:34,7742614D-46C3-4316-B04C-76F95EEB6F63
20251016,郵局,13200,TWD,Bankee,13200,TWD,,,2025-10-16 23:15:49,EB3FB6EF-C425-4BF0-9BB8-9270AB68E708
20251016,Bankee,1000,TWD,錢包,1000,TWD,,,2025-10-16 23:14:28,1BA8E13B-764C-4A96-B52C-C59F4799ADA5
20251013,國泰子帳戶,97,TWD,群益台灣50,97,TWD,,,2025-10-21 11:07:14,6FFC37C0-25CF-4E94-830C-650FBA50F853
20251010,郵局,7878,TWD,Bankee,7878,TWD,,,2025-10-10 15:43:09,6CA5CC33-CF85-46E2-B357-5AA9DD048C16
20251010,Bankee,3100,TWD,國泰數位帳戶,3100,TWD,,,2025-10-10 14:09:39,CC594DFE-949E-4B1F-9BCB-B3B84E3030EB
20251009,國泰子帳戶,86,TWD,兆豐藍籌,86,TWD,,,2025-10-21 11:07:55,10000545-3AC9-460F-AD26-F1A43039A44B
20251007,國泰子帳戶,98,TWD,群益台灣50,98,TWD,,,2025-10-08 09:05:43,6457742D-8910-4EE7-B7A4-7EA751769887
20251004,錢包,160,TWD,撲滿現金,160,TWD,,,2025-10-04 01:44:35,6E47AE8F-9301-4636-84A4-6E2276759DC3
20251003,國泰子帳戶,84,TWD,兆豐藍籌,84,TWD,,,2025-10-03 23:35:36,678B8E3E-2ECB-48E7-A0B5-9ABE3607E481
20251003,中信,22000,TWD,Bankee,22000,TWD,,,2025-10-03 18:55:24,35BDA983-CD1A-46C2-857F-78D7D842350D
20251003,Bankee,300,TWD,悠遊付錢包,300,TWD,,,2025-10-03 14:13:49,A4BC4BD0-4A5A-4035-BDEB-228370F7E718
20250930,國泰子帳戶,164,TWD,兆豐藍籌,164,TWD,,,2025-10-02 18:40:18,AFAC46D4-4BA9-4989-AD1E-EFBFFA8E7FD7
20250926,CUBE COMBO,209,TWD,錢包,209,TWD,,,2025-09-26 19:32:58,8D08D741-2183-48B8-8BCF-22ED7B775EC5
20250925,郵局,5000,TWD,國泰子帳戶,5000,TWD,,,2025-09-25 07:39:55,49CB9A8C-DBBA-4A20-A49D-D321E1B2F926
20250925,國泰子帳戶,6299,TWD,CUBE COMBO,6299,TWD,,自動繳款[8月09日〜9月08日],2025-09-25 07:38:40,D203A951-34B5-43BD-8E1D-5984C5277CAC
20250923,國泰子帳戶,83,TWD,兆豐藍籌,83,TWD,,,2025-09-24 09:08:12,C8E8AEFF-9715-4EDE-9F20-EB26566A2F51
20250922,國泰子帳戶,82,TWD,兆豐藍籌,82,TWD,,,2025-09-22 19:48:12,5EA65590-0466-40B7-90FF-4E9E9BB35C5C
20250922,Bankee,3386,TWD,BT21,3386,TWD,,自動繳款[8月07日〜9月06日],2025-09-23 10:50:38,9A4F8BA0-E7EB-47F6-8C2B-24A3ADFBAC6D
20250920,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-09-20 15:15:25,BD2D7986-7AD6-4871-BD99-89C3A2312A7E
20250920,郵局,1000,TWD,國泰數位帳戶,1000,TWD,,,2025-09-20 13:36:41,31EDF5D5-DCB4-433D-8498-80BC344E05DA
20250919,國泰子帳戶,82,TWD,兆豐藍籌,82,TWD,,,2025-09-20 15:38:52,712F0010-FA47-4D50-866B-D6930303EA4C
20250916,BT21,170,TWD,錢包,170,TWD,,,2025-09-16 21:35:49,C07060E0-F878-425E-8EBC-C38E85085AA4
20250914,中信,2000,TWD,錢包,2000,TWD,,,2025-09-15 19:00:27,45419758-49C9-4398-945D-057A3852C511
20250914,郵局,3000,TWD,Bankee,3000,TWD,,,2025-09-14 16:09:23,29697BF1-4CFD-4B64-A674-2CF29E260536
20250911,郵局,25000,TWD,Bankee,25000,TWD,,,2025-09-11 07:55:46,FE4E424E-025A-4A30-B8E5-34E0D659C6E7
20250910,國泰子帳戶,180,TWD,群益台灣50,180,TWD,,,2025-09-10 19:58:03,107E4EAA-0331-4D1F-9F65-900D570E3E9F
20250909,國泰子帳戶,79,TWD,兆豐藍籌,79,TWD,,,2025-09-20 15:39:33,F365833D-FD6E-4D96-AC6D-44A6C153A5EB
20250906,Bankee,3000,TWD,錢包,3000,TWD,,,2025-09-06 21:39:11,735FBD53-896E-45B0-AB2B-D12132F2646A
20250906,撲滿現金,60,TWD,錢包,60,TWD,,,2025-09-06 18:18:41,93952F2B-6A7C-4B48-BCC7-B73666AF9F01
20250905,國泰子帳戶,283,TWD,群益台灣50,283,TWD,,,2025-09-05 19:48:00,89B5D9D7-DECA-4B4D-B116-2E456F5964CC
20250903,國泰子帳戶,75,TWD,兆豐藍籌,75,TWD,,,2025-09-03 20:42:00,50891CFC-DE1C-44AA-9BFE-D3F641374EEF
20250903,郵局,25514,TWD,Bankee,25514,TWD,,,2025-09-03 12:19:38,04454CB6-6F3B-4FFD-B944-3E4712BAAECD
20250901,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-09-02 20:00:38,63F02FDA-8ACA-48D0-959E-A87A769A0CE7
20250830,撲滿現金,900,TWD,錢包,900,TWD,,,2025-09-01 18:33:35,44B80495-3098-4F2E-B4D5-0713D120DD5A
20250830,中信,30000,TWD,Bankee,30000,TWD,,,2025-08-30 14:14:27,DC0ABB20-120A-4E29-957C-639560614A9D
20250829,點點卡,133,TWD,中信,133,TWD,,,2025-08-30 11:56:22,71613036-018E-479B-B743-0425BC578C65
20250829,CUBE COMBO,300,TWD,點點卡,300,TWD,,,2025-08-30 11:51:47,D97CC3AB-4F32-4108-AC29-C25028F47ED1
20250828,Bankee,7000,TWD,國泰子帳戶,7000,TWD,,,2025-08-30 14:20:26,17AE4D52-36F2-4B35-BF82-644622259C9C
20250828,國泰子帳戶,77,TWD,兆豐藍籌,77,TWD,,,2025-08-30 14:18:15,9324ACAF-FC42-4ECD-9DDF-6CE682DFC6B1
20250828,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-08-28 01:57:07,371F61F6-EAD0-4A30-9797-534B52758BE8
20250827,國泰子帳戶,77,TWD,兆豐藍籌,77,TWD,,,2025-08-30 14:17:56,57A211FD-097B-4D37-81AC-D5F4020B4439
20250827,iPASS MONEY,1000,TWD,Bankee,1000,TWD,,,2025-08-27 13:30:03,E1302781-1F0B-4C14-A566-5446E5722F0B
20250825,國泰子帳戶,76,TWD,兆豐藍籌,76,TWD,,,2025-08-25 19:22:15,48121D5B-BD6D-439C-953A-4CEC21DB8304
20250825,國泰子帳戶,5987,TWD,CUBE COMBO,5987,TWD,,自動繳款[7月09日〜8月08日],2025-08-25 19:20:49,0797AC93-6363-4D77-89C0-473480E8F878
20250823,Bankee,2000,TWD,錢包,2000,TWD,,,2025-08-23 16:42:31,173EDB0B-32D0-4995-93E8-1FBD928853C3
20250821,Bankee,6035,TWD,BT21,6035,TWD,,自動繳款[7月07日〜8月06日],2025-08-22 07:36:30,C3DD2BD6-CA56-47EA-9D6C-6DE27DC50C3D
20250820,國泰子帳戶,74,TWD,兆豐藍籌,74,TWD,,,2025-08-23 18:27:55,AFFCB47A-62D8-45F0-99B3-FBA774029E70
20250819,國泰子帳戶,77,TWD,兆豐藍籌,77,TWD,,,2025-08-19 20:21:35,7240CCD1-EDE6-469D-83B3-4113F4220A19
20250818,郵局,30000,TWD,Bankee,30000,TWD,,,2025-08-18 14:00:23,2B906B84-FD90-40E0-B988-C9915EF0AE3B
20250816,中信,20000,TWD,郵局,20000,TWD,,,2025-08-16 10:48:14,81ED1156-AF49-49E9-88E5-0C8BA2A47C9B
20250815,BT21,210,TWD,錢包,210,TWD,,寶新竹台中,2025-08-15 07:43:54,472426F8-4DCA-4443-A56C-B2114EC3A326
20250813,錢包,5000,TWD,郵局,5000,TWD,,,2025-08-13 20:00:16,CB46E812-1625-4C7C-A106-EE1DA9FAFFE2
20250811,國泰子帳戶,90,TWD,群益台灣50,90,TWD,,,2025-08-23 18:29:14,63729725-F389-42F0-A692-71F880D04318
20250811,國泰子帳戶,77,TWD,兆豐藍籌,77,TWD,,,2025-08-23 18:28:47,1B755F18-5A51-4412-8EB0-A68653150F41
20250805,國泰子帳戶,178,TWD,群益台灣50,178,TWD,,,2025-08-23 18:29:55,A3035AB6-D599-4596-A234-419D6C4CAC1B
20250804,國泰子帳戶,74,TWD,兆豐藍籌,74,TWD,,,2025-08-23 18:31:14,CE65FAE0-B1EC-45F9-8E62-6F47D927D904
20250728,郵局,5000,TWD,國泰子帳戶,5000,TWD,,,2025-07-28 20:50:09,5CA7B2EE-F5DA-4DAF-A108-25665191D385
20250728,國泰子帳戶,148,TWD,兆豐藍籌,148,TWD,,,2025-07-28 20:46:53,70117F24-97B4-4BB1-B920-216516916735
20250727,CUBE COMBO,300,TWD,點點卡,300,TWD,,,2025-07-27 12:40:08,84181A31-FDA6-45ED-B48D-5F37F0EEE615
20250724,國泰子帳戶,74,TWD,兆豐藍籌,74,TWD,,,2025-07-28 20:48:24,49BE59B3-CC3B-459A-B624-C7CBCEDC9363
20250724,國泰子帳戶,5010,TWD,CUBE COMBO,5010,TWD,,自動繳款[6月09日〜7月08日],2025-07-28 20:47:30,B4843599-6232-43D0-9F91-C87E1AE16B97
20250723,郵局,20000,TWD,Bankee,20000,TWD,,,2025-07-23 01:50:25,FA862B56-C659-49CC-ADD3-C5329336074B
20250723,國泰數位帳戶,1000,TWD,國泰子帳戶,1000,TWD,,,2025-07-23 01:46:32,981B0782-FE09-4933-B2CF-588A960209B2
20250722,錢包,950,TWD,撲滿現金,950,TWD,,,2025-07-22 19:39:18,16B76299-B9DF-4015-84F3-F73104CB53DE
20250722,郵局,1000,TWD,國泰數位帳戶,1000,TWD,,,2025-07-22 18:22:39,67C3BFF3-EBCE-479B-98A3-D53731E61C4A
20250722,郵局,2000,TWD,錢包,2000,TWD,,,2025-07-22 18:22:20,95922D21-890F-4728-B2A6-239BEDE72881
20250722,Bankee,4982,TWD,BT21,4982,TWD,,自動繳款[6月07日〜7月06日],2025-07-23 01:48:16,86F124E7-A977-4F89-89CE-FD324530B8BB
20250721,國泰子帳戶,148,TWD,兆豐藍籌,148,TWD,,,2025-07-23 01:45:04,566FAE61-CBD1-4071-95E9-8F44B1B0A66E
20250720,撲滿現金,300,TWD,錢包,300,TWD,,,2025-07-20 17:09:40,94A8B4A3-3457-4051-9FC2-E3D7BC1E56C5
20250714,國泰子帳戶,87,TWD,群益台灣50,87,TWD,,,2025-07-14 20:19:57,E9DDC88B-E6D1-4196-BA48-13C355FFD101
20250710,國泰子帳戶,87,TWD,群益台灣50,87,TWD,,,2025-07-10 23:52:18,9FB3E667-4405-45B0-BA91-0AF1A4575B70
20250707,國泰子帳戶,170,TWD,群益台灣50,170,TWD,,,2025-07-07 22:01:52,499A12DC-7B79-4D30-8ADB-43DC8BC2DB28
20250705,Bankee,300,TWD,悠遊付錢包,300,TWD,,,2025-07-06 11:45:09,3C36311A-9060-4B81-B77C-7F3E920311FC
20250705,Bankee,2000,TWD,錢包,2000,TWD,,,2025-07-05 09:56:35,27C02F42-9181-40BC-B6D4-F932BF3B9A0C
20250703,台新美元,1212,USD,鑫多利,1212,USD,,,2025-07-07 22:25:36,F3B34DBB-C0A2-44BA-BBFF-23D604DE2B5E
20250703,國泰子帳戶,86,TWD,群益台灣50,86,TWD,,,2025-07-03 22:10:13,5E5F8638-5F05-45AA-AA53-115582BDA106
20250703,國泰子帳戶,71,TWD,兆豐藍籌,71,TWD,,,2025-07-03 22:09:52,09E454A9-C98B-4769-976B-9D606F49CBE2
20250702,Bankee,300,TWD,悠遊付錢包,300,TWD,,,2025-07-02 09:58:11,0F6A8E64-79AD-4269-A811-7A3CB83B34BD
20250701,國泰子帳戶,86,TWD,群益台灣50,86,TWD,,,2025-07-01 20:00:52,443CE08E-DF5C-4F7B-AE9F-15E638F6A2DA
20250701,Bankee,300,TWD,悠遊付錢包,300,TWD,,,2025-07-01 13:23:14,77220921-6344-401A-AC73-30DF2220CC76
20250630,Bankee,8800,TWD,台新活儲戶,8800,TWD,,,2025-06-30 21:53:54,B64522A1-0D33-4D08-B8FD-CA25F4B6382A
20250630,台新活儲戶,8802,TWD,台新美元,300,USD,,,2025-06-30 21:53:38,7404A0C5-F330-41CB-8EE4-0EBB870DE680
20250630,Bankee,3000,TWD,錢包,3000,TWD,,,2025-06-30 18:21:40,5E9149B5-95D7-4A8C-BB6D-3F962CF0082D
20250627,國泰子帳戶,69,TWD,兆豐藍籌,69,TWD,,,2025-06-27 21:14:25,0CF9A9F1-C413-4B61-8E3C-FC45EDF3138F
20250627,Bankee,5800,TWD,台新活儲戶,5800,TWD,,,2025-06-27 16:54:42,401411E6-F5E9-4876-8035-5539732DC25C
20250627,郵局,5800,TWD,台新活儲戶,5800,TWD,,,2025-06-27 16:47:00,A969FBEA-48BB-4970-8CB8-9B0AB7FF300B
20250627,台新活儲戶,11680,TWD,台新美元,400,USD,,,2025-06-27 16:58:18,9D0737C7-1A1A-4625-AC2F-AAAD1D1916B9
20250627,台新活儲戶,2336,TWD,台新美元,80,USD,,,2025-06-27 16:30:04,DB18AB20-81E8-46C9-AE02-629E4AA294B4
20250625,台新活儲戶,35707,TWD,台新美元,1212,USD,,,2025-06-25 14:35:31,71DAEB5C-F933-4DE6-A25A-FF877B6932D6
20250624,台新活儲戶,2954,TWD,台新美元,100,USD,,,2025-06-24 13:36:55,60C5FBB4-CE9A-43CB-B3AD-27CEE179D56D
20250624,國泰子帳戶,1000,TWD,CUBE COMBO,1000,TWD,,自動繳款[5月09日〜6月08日],2025-06-24 13:28:46,AEFF19B8-D12F-447E-A019-E162F95E0114
20250623,國泰子帳戶,67,TWD,兆豐藍籌,67,TWD,,,2025-06-23 16:17:32,153CB325-8DBD-4DB7-96A4-9C06CB87CAD9
20250623,撲滿現金,320,TWD,錢包,320,TWD,,,2025-06-27 00:17:13,5ADAA3BC-39B6-4D6D-9EFB-DEF007084458
20250623,Bankee,5756,TWD,BT21,5756,TWD,,自動繳款[5月07日〜6月06日],2025-06-24 13:20:15,C80520FD-08D6-40BF-92C6-252AD8C42F23
20250621,郵局,30000,TWD,Bankee,30000,TWD,,,2025-06-21 19:04:32,4C470223-3D81-4310-8CC1-6B91DC0ACA39
20250620,撲滿現金,300,TWD,錢包,300,TWD,,,2025-06-20 12:27:03,13098CF1-A3ED-4CF2-BF0A-CFB82EDBBE8A
20250617,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2025-06-17 21:27:05,7EAD6160-604E-4E9C-909F-25CA35768ADD
20250616,國泰子帳戶,83,TWD,群益台灣50,83,TWD,,,2025-06-16 18:14:03,E91FA56F-B9FA-411A-85B6-9761F2274F1B
20250614,國泰子帳戶,500,TWD,國泰數位帳戶,500,TWD,,,2025-06-14 19:50:04,C1561169-DE12-46DA-B6A3-5624E17EBC6F
20250612,BT21,1300,TWD,錢包,1300,TWD,,,2025-06-12 21:18:56,195C72F5-9D5B-4DE7-84BB-1FA774EAC3B7
